id,name,WD Lsv,WD Len,WD Dsv,WD Den,WD e-postadress,WD telefonnummer,WD organisationsnummer (Sverige),abbreviation,other_names,description,classification,parent_id,founding_date,dissolution_date,image,url,jurisdiction_code,phone,email,address,contact,tags,source_url
se/sodertalje-tingsratt,Södertälje tingsrätt,Södertälje tingsrätt,Södertälje District Court,,,,,,,,,,,,,,www.domstol.se,SE,,sodertalje.tingsratt@dom.se,BOX 348,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sodertorns-hogskola,Södertörns högskola,Södertörns högskola,Södertörn University,svensk statlig förvaltningsmyndighet,university in Sweden,mailto:registrator@sh.se,+46-8-608-40-00,202100-4896,,,,,,,,,webappl.web.sh.se,SE,08-6084010,registrator@sh.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sodertorns-tingsratt,Södertörns tingsrätt,Södertörns tingsrätt,Södertörn District Court,"lokal domstol i Södertörn, Sverige","local lawcourt in Södertörn, Sweden",,,,,,,,,,,,www.sodertornstingsratt.domstol.se,SE,08-7110580,sodertorns.tingsratt@dom.se,BJÖRNKULLAVÄGEN 5 A,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/solleftea-kommun,Sollefteå kommun,Sollefteå kommun,Sollefteå Municipality,"kommun i Västernorrlands län, Sverige","municipality in Västernorrland County, Sweden",,,212000-2437,,,Glesbygdkommuner,8.0,,,,,http://www.solleftea.se,SE,0620-682000,kommun@solleftea.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/sollentuna-kommun,Sollentuna kommun,Sollentuna kommun,Sollentuna Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0134,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.sollentuna.se,SE,08-57921000,sollentuna.kommun@sollentuna.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/solna-stad,Solna kommun,Solna kommun,Solna Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0183,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.solna.se,SE,08-746 10 00,kommunstyrelsen@solna.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/solna-tingsratt,Solna tingsrätt,Solna tingsrätt,Solna District Court,,,,,,,,,,,,,,www.solnatingsratt.domstol.se,SE,,solna.tingsratt@dom.se,BOX 1356,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/solvesborgs-kommun,Sölvesborgs kommun,Sölvesborgs kommun,Sölvesborg Municipality,"kommun i Blekinge län, Sverige","municipality in Blekinge County, Sweden",,,212000-0852,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.solvesborg.se,SE,0456-81 60 00,info@solvesborg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/sorsele-kommun,Sorsele kommun,Sorsele kommun,Sorsele Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2585,,,Glesbygdkommuner,8.0,,,,,http://www.sorsele.se,SE,0952-140 00,kommun@sorsele.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/sotenas-kommun,Sotenäs kommun,Sotenäs kommun,Sotenäs Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1322,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.sotenas.se,SE,0523 - 66 40 00,info@sotenas.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/specialpedagogiska-skolmyndigheten,Specialpedagogiska skolmyndigheten,Specialpedagogiska skolmyndigheten,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:spsm@spsm.se,+46-10-473-50-00,202100-5745,,,,,,,,,www.spsm.se,SE,010-4736642,spsm@spsm.se,BOX 1100,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/staffanstorps-kommun,Staffanstorps kommun,Staffanstorps kommun,Staffanstorp Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1017,,,Förortskommuner till storstäderna,2.0,,,,,http://www.staffanstorp.se,SE,046-251100,kommunen@staffanstorp.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/statens-ansvarsnamnd,Statens ansvarsnämnd,Statens ansvarsnämnd,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:statensansvarsnamnd@dom.se,+46-8-561-671-31,202100-5836,,,,,,,,,www.statensansvarsnamnd.se,SE,08-202141,ansvarsnamnden@dom.se,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-beredning-for-medicinsk-utvardering,Statens beredning för medicinsk och social utvärdering,Statens beredning för medicinsk och social utvärdering,Swedish Agency for Health Technology Assessment and Assessment of Social Services,svensk myndighet som utvärderar sjukvårdens och socialtjänstens metoder,government agency in Sweden,mailto:registrator@sbu.se,+46-8-412-32-00,202100-4417,,,,,,,,,www.sbu.se,SE,08-4113260,info@sbu.se,BOX 3657,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-centrum-for-arkitektur-och-design,Statens centrum för arkitektur och design,Statens centrum för arkitektur och design,Swedish Centre for Architecture and Design,svensk statlig förvaltningsmyndighet,architectural museum in Stockholm Sweden,mailto:info@arkdes.se,+46-8-520-235-00,202100-3427,,,,,,,,,www.arkitekturmuseet.se,SE,08-58727070,info@arkitekturmuseet.se,SKEPPSHOLMEN,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-energimyndighet,Energimyndigheten,Energimyndigheten,Swedish Energy Agency,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@energimyndigheten.se,+46-16-544-20-00,202100-5000,,,,,,,,,www.energimyndigheten.se,SE,016-5442099,registrator@energimyndigheten.se,BOX 310,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-fastighetsverk,Statens fastighetsverk,Statens fastighetsverk,National Property Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:sfv@sfv.se,+46-10-478-70-00,202100-4474,,,,,,,,,www.sfv.se,SE,08-6967001,sfv@sfv.se,BOX 2263,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-forsvarshistoriska-museer,Statens försvarshistoriska museer,Statens försvarshistoriska museer,National Swedish Museums of Military History,har till uppgift att främja kunskapen om det svenska försvaret genom tiderna och om försvarets roll i samhällsutvecklingen.,the task is to promote the knowledge of the Swedish defense through the ages and about the role of defense in the development of society.,mailto:info@sfhm.se,+46-8-519-563-10,202100-0464,,,,,,,,,www.sfhm.se,SE,08-6626831,info@sfhm.se,BOX 14095,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
,,,,,,mailto:magnus.hagberg@sfhm.se,,,,,,,,,,,,,,,,,,
se/statens-geotekniska-institut,Statens geotekniska institut,Statens geotekniska institut,Swedish Geotechnical Institute,svensk statlig förvaltningsmyndighet,Swedish research institute,mailto:sgi@swedgeo.se,+46-13-20-18-00,202100-0712,,,,,,,,,www.swedgeo.se,SE,013-201914,sgi@swedgeo.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-haverikommission,Statens haverikommission,Statens haverikommission,Swedish Accident Investigation Board,svensk statlig förvaltningsmyndighet,"Swedish administrative authority, investigating accidents in air, ground, and sea sectors",mailto:info@havkom.se,+46-8-508-862-00,202100-3260,,,,,,,,,www.havkom.se,SE,08-50886290,info@havkom.se,BOX 12538,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-historiska-museer,Statens historiska museer,Statens historiska museer,National Historical Museums of Sweden,museer som har till uppgift att främja kunskapen om och intresset för Sveriges historia och att bevara och utveckla det kulturarv som myndigheten förvaltar,museums that have the task of promoting knowledge of and interest in Sweden's history and preserving and developing the cultural heritage,mailto:info@shm.se,+46-8-519-556-00,202100-4953,,,,,,,,,www.historiska.se,SE,08-51955603,registrator@historiska.se,BOX 5428,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
,,,,,,mailto:registrator@shm.se,,,,,,,,,,,,,,,,,,
se/statens-inspektion-for-forsvarsunderrattelseverksamheten,Statens inspektion av försvarsunderrättelseverksamheten,Statens inspektion av försvarsunderrättelseverksamheten,,,,,,,SIUN,,,,,,,,www.siun.se,SE,,registrator@siun.se,BOX 1140,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-institutionsstyrelse,Statens institutionsstyrelse,Statens institutionsstyrelse,National Board of Institutional Care,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@stat-inst.se,+46-10-453-40-00,202100-4508,,,,,,,,,www.stat-inst.se,SE,010-4534050,registrator@stat-inst.se,BOX 30224,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-jordbruksverk,Statens jordbruksverk,Statens jordbruksverk,Swedish Board of Agriculture,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:jordbruksverket@jordbruksverket.se,+46-77-122-32-23,202100-4151,,,,,,,,,www.sjv.se,SE,036-190546,jordbruksverket@jordbruksverket.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-konstrad,Statens konstråd,Statens konstråd,National Public Art Council,en svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@statenskonstrad.se,+46-8-440-12-80,202100-1033,,,,,,,,,www.statenskonstrad.se,SE,08-4401281,info@statenskonstrad.se,HÄLSINGEGATAN 45,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-kulturrad,Statens kulturråd,Statens kulturråd,Swedish Arts Council,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:kulturradet@kulturradet.se,+46-8-519-264-00,202100-1280,,,,,,,,,www.kulturradet.se,SE,08-51926499,kulturradet@kulturradet.se,BOX 27215,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-maritima-museer,Statens maritima och transporthistoriska museer,Statens maritima och transporthistoriska museer,Swedish National Maritime and Transport Museums,"svensk statlig förvaltningsmyndighet som ansvarar för statens museer med maritim och transporthistorisk inriktning med uppgift att bevara, utveckla samt bygga upp kunskaperna om det maritima och transporthistoriska kulturarvet.",is the Swedish state administration authority and responsible for the state's museums with maritime and transport historical focus.,mailto:odd.johansen@maritima.se,+46-455-35-93-00,202100-1132,,,,,,,,,www.maritima.se,SE,,registrator@maritima.se,BOX 48,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
,,,,,,mailto:cecilia.eriksson@maritima.se,,,,,,,,,,,,,,,,,,
,,,,,,mailto:registrator@maritima.se,,,,,,,,,,,,,,,,,,
se/statens-medierad,Statens medieråd,Statens medieråd,Swedish Media Council,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@statensmedierad.se,+46-8-665-14-60,202100-6396,,,,,,,,,www.statensmedierad.se,SE,08-210178,registrator@statensmedierad.se,BOX 27204,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-museer-for-varldskultur,Statens museer för världskultur,Statens museer för världskultur,The National Museums of World Culture,svensk statlig förvaltningsmyndighet med säte i Göteborg,heritage institution,mailto:registrator@varldskulturmuseerna.se,+46-10-456-12-00,202100-5075,,,,,,,,,www.smvk.se,SE,010-4561150,info@varldskulturmuseerna.se,BOX 5306,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-musikverk,Statens musikverk,Statens musikverk,Swedish Performing Arts Agency,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@musikverket.se,+46-8-519-554-50,202100-3666,,,,,,,,,www.smus.se,SE,08-51955405,registrator@musikverk.se,BOX 16326,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-namnd-for-arbetstagares-uppfinningar,Statens nämnd för arbetstagares uppfinningar,Statens nämnd för arbetstagares uppfinningar,,svensk statlig förvaltningsmyndighet,Swedish government agency,,+46-8-405-10-00,202100-5778,,,,,,,,,,SE,,,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-overklagandenamnd,Statens överklagandenämnd,Statens överklagandenämnd,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registratur@kammarkollegiet.se,+46-8-700-08-00,202100-4763,,,,,,,,,www.kammarkollegiet.se/statens-oeverklagandenaemnd,SE,08-204969,registratur@kammarkollegiet.se,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-servicecenter,Statens servicecenter,Statens servicecenter,National Government Service Centre,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:registrator@statenssc.se,+46-77-145-60-00,202100-6453,,,,,,,,,www.statenssc.se,SE,,registrator@statenssc.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-skaderegleringsnamnd,Statens skaderegleringsnämnd,Statens skaderegleringsnämnd,National Claims Adjustment Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,,+46-8-700-08-00,202100-5828,,,,,,,,,www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/statens-skaderegleringsnaemnd,SE,,,BOX 2218,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-skolinspektion,Statens skolinspektion,Statens skolinspektion,Swedish School Inspectorate,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:skolinspektionen@skolinspektionen.se,+46-8-586-080-00,202100-6065,,,,,,,,,www.skolinspektionen.se,SE,08-58608010,skolinspektionen@skolinspektionen.se,BOX 23069,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-skolverk,Skolverket,Skolverket,National Agency for Education,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@skolverket.se,+46-8-527-332-00,202100-4185,,,,,,,,,www.skolverket.se,SE,08-244420,skolverket@skolverket.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-tjanstepensions--och-grupplivnamnd,Statens Tjänstepensions- Och Grupplivnämnd,Statens Tjänstepensions- Och Grupplivnämnd,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:kundservice@spv.se,+46-60-18-75-46,202100-5851,,,,,,,,,,SE,060-187438,spv@spv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-tjanstepensionsverk,Statens tjänstepensionsverk,Statens tjänstepensionsverk,National Government Employee Pensions Board,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:kundservice@spv.se,+46-60-18-74-00,202100-0928,,,,,,,,,www.spv.se,SE,060-187438,spv@spv.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-va-namnd,Statens va-nämnd,Statens va-nämnd,Swedish Water Supply and Sewage Tribunal,,Swedish special court,,,,,,,,,,,,www.va-namnden.se,SE,08-6573885,kansli@va-namnden.se,BOX 12535,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-vag--och-transportforskningsinstitut,Statens väg- och transportforskningsinstitut,Statens väg- och transportforskningsinstitut,Swedish National Road and Transport Research Institute,svensk statlig förvaltningsmyndighet,Swedish research institute,mailto:vti@vti.se,+46-13-20-40-00,202100-0704,,,,,,,,,www.vti.se,SE,013-141436,vti@vti.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statens-veterinarmedicinska-anstalt,Statens veterinärmedicinska anstalt,Statens veterinärmedicinska anstalt,National Veterinary Institute,svensk statlig förvaltningsmyndighet,Swedish veterinary agency,mailto:sva@sva.se,+46-18-67-40-00,202100-1868,,,,,,,,,www.sva.se,SE,018-309162,sva@sva.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statistiska-centralbyran,Statistiska Centralbyrån,Statistiska Centralbyrån,Statistics Sweden,svensk myndighet som ansvarar för officiell och annan statlig statistik,Swedish stats office and registration authority,mailto:scb@scb.se,+46-10-479-40-00,202100-0837,,,,,,,,,www.scb.se,SE,08-6615261,scb@scb.se,BOX 24300,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/statskontoret,Statskontoret,Statskontoret,Swedish Agency for Public Management,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@statskontoret.se,+46-8-454-46-00,202100-0852,,,,,,,,,www.statskontoret.se,SE,08-7918972,registrator@statskontoret.se,BOX 8110,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/stenungsunds-kommun,Stenungsunds kommun,Stenungsunds kommun,Stenungsund Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1298,,,Pendlingskommuner,5.0,,,,,http://www.stenungsund.se,SE,0303-730000,kommun@stenungsund.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/stockholms-konstnarliga-hogskola,Stockholms konstnärliga högskola,Stockholms konstnärliga högskola,Stockholm University of the Arts,svensk statlig förvaltningsmyndighet,"university college in Stockholm, Sweden",mailto:registrator@uniarts.se,+46-8-494-000-00,202100-6560,,,,,,,,,http://www.uniarts.se/,SE,08-49400203,info@uniarts.se,BOX 24045,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/stockholms-lans-landsting,Region Stockholm,Region Stockholm,Stockholm County Council,regionkommun för Stockholms län,government organization in Sweden,,,232100-0016,,,,,,,,,http://www.sll.se,SE,08-737 25 00,landstinget@sll.se,Box 22550,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterlandstingregioner.1247.html
se/stockholms-stad,Stockholms kommun,Stockholms kommun,Stockholm Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,+46-8-508-005-08,212000-0142,,,Storstäder,1.0,1.0,,,,http://www.stockholm.se,SE,08 - 508 290 00,kommunstyrelsen@stockholm.se,Stadshuset,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/stockholms-tingsratt,Stockholms tingsrätt,Stockholms tingsrätt,Stockholm District Court,tingsrätt med Stockholm som kansliort,,,,,,,,,,,,,www.stockholmstingsratt.se,SE,,stockholms.tingsratt.administrativa@dom.se,BOX 8307,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/stockholms-universitet,Stockholms universitet,Stockholms universitet,Stockholm University,akademisk utbildningsinstitution i Stockholm,"state university of Stockholm, Sweden",mailto:registrator@su.se,+46-8-16-20-00,202100-3062,,,,,,,,,www.su.se,SE,08-159522,registrator@su.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/storfors-kommun,Storfors kommun,Storfors kommun,Storfors Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1785,,,Pendlingskommuner,5.0,,,,,http://www.storfors.se,SE,0550-65100,storfors.kommun@storfors.se,Box 1001,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/storumans-kommun,Storumans kommun,Storumans kommun,Storuman Municipality,"kommun i Västerbottens län, Sverige","municipality in Västerbotten County, Sweden",,,212000-2577,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.storuman.se,SE,0951-14000,ks@storuman.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/stralsakerhetsmyndigheten,Strålsäkerhetsmyndigheten,Strålsäkerhetsmyndigheten,Swedish Radiation Safety Authority,Svensk statlig myndighet,Nuclear safety regulatory body in Sweden,mailto:registrator@ssm.se,+46-8-799-40-00,202100-5737,,,,,,,,,www.stralsakerhetsmyndigheten.se,SE,,registrator@ssm.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/strangnas-kommun,Strängnäs kommun,Strängnäs kommun,Strängnäs Municipality,"kommun i Södermanlands län, Sverige","municipality in Södermanland County, Sweden",,,212000-0365,,,Pendlingskommuner,5.0,,,,,http://www.strangnas.se,SE,0152-29100,kommunstyrelsen@strangnas.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/stromstads-kommun,Strömstads kommun,Strömstads kommun,Strömstad Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1405,,,Turism- och besöksnäringskommuner,6.0,,,,,http://www.stromstad.se,SE,0526-19000,kommun@stromstad.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/stromsunds-kommun,Strömsunds kommun,Strömsunds kommun,Strömsund Municipality,"kommun i Jämtlands län, Sverige","municipality in Jämtland County, Sweden",,,212000-2486,,,Glesbygdkommuner,8.0,,,,,http://www.stromsund.se,SE,0670-16100,stromsunds.kommun@stromsund.se,Box 500,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/styrelsen-for-ackreditering-och-teknisk-kontroll,Styrelsen för ackreditering och teknisk kontroll,Styrelsen för ackreditering och teknisk kontroll,Swedish Board for Accreditation and Conformity Assessment,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:registrator@swedac.se,+46-77-199-09-00,202100-3815,,,,,,,,,www.swedac.se,SE,033-101392,registrator@swedac.se,BOX 878,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sundbybergs-stad,Sundbybergs stad,Sundbybergs stad,Sundbybergs stad,stadskommun i Sverige före 1971,town (municipal status) in Sweden,,,,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.sundbyberg.se,SE,08-7068000,kommunstyrelsen@sundbyberg.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/sundsvalls-kommun,Sundsvalls kommun,Sundsvalls kommun,Sundsvall Municipality,"kommun i Västernorrlands län, Sverige","municipality in Västernorrland County, Sweden",,,212000-2411,,,Större städer,3.0,,,,,http://www.sundsvall.se,SE,060-191000,sundsvalls.kommun@sundsvall.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/sundsvalls-tingsratt,Sundsvalls tingsrätt,Sundsvalls tingsrätt,Sundsvall District Court,,,,,,,,,,,,,,www.sundsvallstingsratt.se,SE,,sundsvalls.tingsratt@dom.se,BOX 467,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sunne-kommun,Sunne kommun,Sunne kommun,Sunne Municipality,"kommun i Värmlands län, Sverige","municipality in Värmland County, Sweden",,,212000-1843,,,Kommuner i glesbefolkad region,10.0,,,,,http://www.sunne.se,SE,0565-16000,kommun.kansli@sunne.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/surahammars-kommun,Surahammars kommun,Surahammars kommun,Surahammar Municipality,"kommun i Västmanlands län, Sverige","municipality in Västmanland County, Sweden",,,212000-2031,,,Pendlingskommuner,5.0,,,,,http://www.surahammar.se,SE,0220-39000,kommunen@surahammar.se,Box 203,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/svalovs-kommun,Svalövs kommun,Svalövs kommun,Svalöv Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-0993,,,Pendlingskommuner,5.0,,,,,http://www.svalov.se,SE,0418-475000,info@svalov.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/svea-hovratt,Svea hovrätt,Svea hovrätt,Svea Court of Appeal,Svensk domstol,Swedish court of appeal,,,,,,,,,,,,www.svea.se,SE,08-219327,svea.hovratt@dom.se,BOX 2290,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/svedala-kommun,Svedala kommun,Svedala kommun,Svedala Municipality,"kommun i Skåne län, Sverige","municipality in Skåne County, Sweden",,,212000-1074,,,Förortskommuner till storstäderna,2.0,,,,,http://www.svedala.se,SE,040-626 80 00,kommunen@svedala.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/svenljunga-kommun,Svenljunga kommun,Svenljunga kommun,Svenljunga Municipality,"kommun i Västra Götalands län, Sverige","municipality in Västra Götaland County, Sweden",,,212000-1512,,,Kommuner i tätbefolkad region,9.0,,,,,http://www.svenljunga.se,SE,0325-18000,kansliet@svenljunga.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
se/svenska-esf-radet,Rådet för Europeiska socialfonden i Sverige,Rådet för Europeiska socialfonden i Sverige,Swedish European Social Fund Council,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:esf@esf.se,+46-20-33-33-90,202100-5224,,,,,,,,,www.esf.se,SE,08-57917101,esf@esf.se,BOX 47141,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/svenska-institutet,Svenska institutet,Svenska institutet,Swedish Institute,svensk statlig förvaltningsmyndighet,Swedish authority,mailto:si@si.se,+46-8-453-78-00,202100-4961,,,,,,,,,www.si.se,SE,08-207248,si@si.se,BOX 7434,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/svenska-institutet-for-europapolitiska-studier,Svenska institutet för Europapolitiska studier,Svenska institutet för Europapolitiska studier,,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:info@sieps.se,+46-8-586-447-00,202100-5331,,,,,,,,,www.sieps.se,SE,08-4544706,info@sieps.se,FLEMINGGATAN 20,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/svenska-kraftnat,Svenska kraftnät,Svenska kraftnät,Svenska Kraftnät,statligt affärsverk som förvaltar svenska statens stamnät för elkraft,Swedish transmission system operator,,,202100-4284,,,,,,,,,www.svk.se,SE,08-4758950,svenska.kraftnat@svk.se,BOX 1200,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sveriges-forfattarfond,Sveriges författarfond,Sveriges författarfond,Swedish Authors’ Fund,svensk statlig förvaltningsmyndighet,Swedish government agency,mailto:svff@svff.se,+46-8-440-45-50,202100-3583,,,,,,,,,www.svff.se,SE,08-4404565,svff@svff.se,BOX 6243,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sveriges-geologiska-undersokning,Sveriges geologiska undersökning,Sveriges geologiska undersökning,Geological Survey of Sweden,svensk statlig förvaltningsmyndighet,Swedish administrative authority,mailto:sgu@sgu.se,+46-18-17-90-00,202100-2528,,,,,,,,,www.sgu.se,SE,018-179210,sgu@sgu.se,BOX 670,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sveriges-lantbruksuniversitet,Sveriges lantbruksuniversitet,Sveriges lantbruksuniversitet,Swedish University of Agricultural Sciences,svensk statlig förvaltningsmyndighet,"university in Uppsala, Sweden",mailto:registrator@slu.se,+46-18-67-10-00,202100-2817,,,,,,,,,www.slu.se,SE,018-672000,registrator@slu.se,BOX 7070,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sveriges-meteorologiska-o-hydrologiska-institut,Sveriges meteorologiska och hydrologiska institut,Sveriges meteorologiska och hydrologiska institut,Swedish Meteorological and Hydrological Institute,Myndighet under Miljö- och energidepartementet,Swedish administrative authority,mailto:smhi@smhi.se,+46-11-495-80-00,202100-0696,,,,,,,,,www.smhi.se,SE,011-4958001,smhi@smhi.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/sveriges-riksbank,Sveriges riksbank,Sveriges riksbank,Sveriges Riksbank,Sveriges centralbank,central bank of Sweden,,,,,,,,,,,,www.riksbank.se,SE,08-7870526,registratorn@riksbank.se,,,,http://www.myndighetsregistret.scb.se/Myndighet.aspx
se/taby-kommun,Täby kommun,Täby kommun,Täby Municipality,"kommun i Stockholms län, Sverige","municipality in Stockholm County, Sweden",,,212000-0118,,,Förortskommuner till storstäderna,2.0,1.0,,,,http://www.taby.se,SE,08-55 55 9000,tabykommun@taby.se,,,,http://skl.se/tjanster/kommunerlandsting/adressuppgifterkommuner.1246.html
